,Product_Name,Product_Code,Product_Score
0,Serie | 4 Üstten Donduruculu Buzdolabı 186 x 70 cm Beyaz ,KDN55NWF0N,3
1,Serie | 2 Alttan Donduruculu Buzdolabı 185 x 70 cm Kolay temizlenebilir Inox ,KGN57VI22N,3
2,Serie | 8 Alttan Donduruculu Buzdolabı 186 x 75 cm Kolay temizlenebilir Inox ,KGA76PIF0N,5
3,Serie | 6 Alttan Donduruculu Buzdolabı 186 x 75 cm Kolay temizlenebilir Inox ,KGN76AIF0N,5
4,Serie | 4 Solo Derin Dondurucu 176 x 60 cm Beyaz ,GSV33VW31N,3
5,Serie | 6 Üstten Donduruculu Buzdolabı 186 x 75 cm Beyaz ,KDN76AWF0N,1.5
6,Serie | 4 Alttan Donduruculu Buzdolabı 186 x 75 cm Kolay temizlenebilir Inox ,KGN76VIF0N,0
7,Serie | 4 Alttan Donduruculu Buzdolabı 193 x 70 cm Kolay temizlenebilir Inox ,KGN56VIF0N,0
8,Serie | 4 Alttan Donduruculu Buzdolabı 186 x 75 cm Beyaz ,KGN76VWF0N,5
9,Serie | 4 Alttan Donduruculu Buzdolabı 193 x 70 cm Beyaz ,KGN56VWF0N,0
10,Serie | 4 Alttan Donduruculu Buzdolabı 193 x 70 cm Beyaz ,KGN56UW30N,0
11,Serie | 6 Alttan Donduruculu Buzdolabı 186 x 86 cm Kolay temizlenebilir Inox ,KGN86AI42N,4.6
12,Serie | 4 Solo Derin Dondurucu 176 x 60 cm Kolay temizlenebilir Inox ,GSV33VIE0N,0
13,Serie | 6 Sandık Tipi Derin Dondurucu White Beyaz ,GCZ30AW20N,0
14,Serie | 4 Solo Derin Dondurucu 161 x 60 cm Beyaz ,GSV29VWE0N,0
15,Serie | 6 Alttan Donduruculu Buzdolabı 186 x 75 cm Beyaz ,KGN76AWF0N,0
16,Serie | 4 Solo Derin Dondurucu 176 x 60 cm Kolay temizlenebilir Inox ,GSV33VI31N,5
17,Serie | 2 Üstten Donduruculu Buzdolabı 165.6 x 55 cm Beyaz ,KDN28NW20N,0
18,Serie | 6 Üstten Donduruculu Buzdolabı 186 x 75 cm Kolay temizlenebilir Inox ,KDN76AIF0N,2.5
19,Serie | 4 Alttan Donduruculu Buzdolabı 186 x 70 cm Beyaz ,KGN55VWF0N,0
20,Serie | 6 Alttan Donduruculu Buzdolabı 193 x 70 cm Beyaz ,KGN56AWF0N,0
21,Serie | 6 Alttan Donduruculu Buzdolabı 186 x 86 cm Beyaz ,KGN86DWF0N,0
22,Serie | 4 Solo Derin Dondurucu 176 x 70 cm Beyaz ,GSN54VWE0N,0
23,Serie | 4 Üstten Donduruculu Buzdolabı 186 x 70 cm Inox paint ,KDN55N1F0N,0
24,Serie | 6 Alttan Donduruculu Buzdolabı 186 x 86 cm Kolay temizlenebilir Inox ,KGB86AIF0N,0
25,Serie | 4 Alttan Donduruculu Buzdolabı 193 x 70 cm Beyaz ,KGN56VW30N,4
26,Serie | 6 Alttan Donduruculu Buzdolabı 186 x 86 cm Beyaz ,KGN86AWF0N,5
27,Serie | 4 Solo Derin Dondurucu 146 x 60 cm Beyaz ,GSV24VWF0N,0
28,Serie | 4 Solo Derin Dondurucu 176 x 60 cm Beyaz ,GSV33VWE0N,0
29,Serie | 6 Üstten Donduruculu Buzdolabı 193 x 70 cm Beyaz ,KDN56AWF0N,0
30,Serie | 4 Üstten Donduruculu Buzdolabı 193 x 70 cm Kolay temizlenebilir Inox ,KDN56XIF0N,0
31,Serie | 4 Üstten Donduruculu Buzdolabı 193 x 70 cm Beyaz ,KDN56XWF0N,0
32,Serie | 6 Üstten Donduruculu Buzdolabı 186 x 86 cm Kolay temizlenebilir Inox ,KDN86AIF0N,3.3
33,Serie | 6 Üstten Donduruculu Buzdolabı 186 x 86 cm Beyaz ,KDN86AWF0N,3
34,Serie | 4 Alttan Donduruculu Buzdolabı 186 x 70 cm Kolay temizlenebilir Inox ,KGN55VIF0N,0
35,Serie | 4 Alttan Donduruculu Buzdolabı 193 x 70 cm Kolay temizlenebilir Inox ,KGN56VI30N,2.4
36,Serie | 6 Alttan Donduruculu Buzdolabı 185 x 70 cm Kolay temizlenebilir Inox ,KGN57PI26N,5
37,Serie | 4 Alttan Donduruculu Buzdolabı 191 x 70 cm Beyaz ,KGV58VWE0N,0
38,Serie | 6 Sandık Tipi Derin Dondurucu White Beyaz ,GCZ23AW20N,0
39,Serie | 4 Solo Derin Dondurucu 176 x 60 cm Beyaz ,GSN33VWE0N,0
40,Serie | 2 Üstten Donduruculu Buzdolabı 171 x 60 cm Beyaz ,KDN30NWF0N,0
41,Serie | 6 Üstten Donduruculu Buzdolabı 193 x 70 cm Kolay temizlenebilir Inox ,KDN56AIF0N,3
42,Serie | 4 Üstten Donduruculu Buzdolabı 191 x 70 cm Beyaz ,KDV58VWF0N,0
43,Serie | 4 Alttan Donduruculu Buzdolabı 186 x 70 cm Beyaz ,KGN46UWF0N,0
44,Serie | 6 Alttan Donduruculu Buzdolabı 193 x 70 cm Kolay temizlenebilir Inox ,KGN56AIF0N,5
45,Serie | 6 Alttan Donduruculu Buzdolabı 193 x 70 cm Siyah ,KGN56LBF0N,0
46,Serie | 4 Alttan Donduruculu Buzdolabı 193 x 70 cm Beyaz ,KGN56UWF0N,0
47,Serie | 6 Alttan Donduruculu Buzdolabı 186 x 86 cm Kolay temizlenebilir Inox ,KGN86AID1N,0
48,Serie | 4 Solo Derin Dondurucu 186 x 60 cm Beyaz ,GSN36VWF0N,0
49,Serie | 2 Alttan Donduruculu Buzdolabı 186 x 60 cm Paslanmaz çelik görünüm ,KGN36NLE0N,5
50,Serie | 6 Alttan Donduruculu Buzdolabı 194 x 70 cm Kolay temizlenebilir Inox ,KGN56HIF0N,0
51,Serie | 6 Alttan Donduruculu Buzdolabı 193 x 70 cm Beyaz ,KGN56LWF0N,0
52,Serie | 6 Alttan Donduruculu Buzdolabı 185 x 70 cm Kolay temizlenebilir Inox ,KGN57AIF0N,0
53,Serie | 6 Alttan Donduruculu Buzdolabı 185 x 70 cm Beyaz ,KGN57AWF0N,0
54,Serie | 6 Alttan Donduruculu Buzdolabı 185 x 70 cm Beyaz ,KGN57PW23N,0
55,Serie | 2 Alttan Donduruculu Buzdolabı 185 x 70 cm Beyaz ,KGN57VW22N,0
56,Serie | 6 Alttan Donduruculu Buzdolabı 186 x 86 cm Kolay temizlenebilir Inox ,KGN86AIF0N,0
